id,name,parent_id,created_at,updated_at
1,レディース,,2019-04-20 02:51:17,2019-04-20 02:51:17
2,メンズ,,2019-04-20 02:51:17,2019-04-20 02:51:17
3,ベビー・キッズ,,2019-04-20 02:51:17,2019-04-20 02:51:17
4,インテリア・住まい・小物,,2019-04-20 02:51:17,2019-04-20 02:51:17
5,本・音楽・ゲーム,,2019-04-20 02:51:17,2019-04-20 02:51:17
6,おもちゃ・ホビー・グッズ,,2019-04-20 02:51:17,2019-04-20 02:51:17
7,コスメ・香水・美容,,2019-04-20 02:51:17,2019-04-20 02:51:17
8,家電・スマホ・カメラ,,2019-04-20 02:51:17,2019-04-20 02:51:17
9,スポーツ・レジャー,,2019-04-20 02:51:17,2019-04-20 02:51:17
10,ハンドメイド,,2019-04-20 02:51:17,2019-04-20 02:51:17
11,チケット,,2019-04-20 02:51:17,2019-04-20 02:51:17
12,自動車・オートバイ,,2019-04-20 02:51:17,2019-04-20 02:51:17
13,その他,,2019-04-20 02:51:17,2019-04-20 02:51:17
14,トップス,1,2019-04-20 02:51:17,2019-04-20 02:51:17
15,ジャケット/アウター,1,2019-04-20 02:51:17,2019-04-20 02:51:17
16,パンツ,1,2019-04-20 02:51:17,2019-04-20 02:51:17
17,スカート,1,2019-04-20 02:51:17,2019-04-20 02:51:17
18,ワンピース,1,2019-04-20 02:51:17,2019-04-20 02:51:17
19,靴,1,2019-04-20 02:51:17,2019-04-20 02:51:17
20,ルームウェア/パジャマ,1,2019-04-20 02:51:17,2019-04-20 02:51:17
21,レッグウェア,1,2019-04-20 02:51:17,2019-04-20 02:51:17
22,帽子,1,2019-04-20 02:51:17,2019-04-20 02:51:17
23,バッグ,1,2019-04-20 02:51:17,2019-04-20 02:51:17
24,アクセサリー,1,2019-04-20 02:51:17,2019-04-20 02:51:17
25,ヘアアクセサリー,1,2019-04-20 02:51:17,2019-04-20 02:51:17
26,小物,1,2019-04-20 02:51:17,2019-04-20 02:51:17
27,時計,1,2019-04-20 02:51:17,2019-04-20 02:51:17
28,ウィッグ/エクステ,1,2019-04-20 02:51:17,2019-04-20 02:51:17
29,浴衣/水着,1,2019-04-20 02:51:17,2019-04-20 02:51:17
30,スーツ/フォーマル/ドレス,1,2019-04-20 02:51:17,2019-04-20 02:51:17
31,マタニティ,1,2019-04-20 02:51:17,2019-04-20 02:51:17
32,その他,1,2019-04-20 02:51:17,2019-04-20 02:51:17
33,マタニティ,1,2019-04-20 02:51:17,2019-04-20 02:51:17
34,Tシャツ/カットソー(半袖/袖なし),14,2019-04-20 02:51:17,2019-04-20 02:51:17
35,Tシャツ/カットソー(七分/長袖),14,2019-04-20 02:51:17,2019-04-20 02:51:17
36,シャツ/ブラウス(半袖/袖なし),14,2019-04-20 02:51:17,2019-04-20 02:51:17
37,シャツ/ブラウス(七分/長袖),14,2019-04-20 02:51:17,2019-04-20 02:51:17
38,ポロシャツ,14,2019-04-20 02:51:17,2019-04-20 02:51:17
39,キャミソール,14,2019-04-20 02:51:17,2019-04-20 02:51:17
40,タンクトップ,14,2019-04-20 02:51:17,2019-04-20 02:51:17
41,ホルターネック,14,2019-04-20 02:51:17,2019-04-20 02:51:17
42,ニット/セーター,14,2019-04-20 02:51:17,2019-04-20 02:51:17
43,チュニック,14,2019-04-20 02:51:17,2019-04-20 02:51:17
44,カーディガン/ボレロ,14,2019-04-20 02:51:17,2019-04-20 02:51:17
45,ベスト/ジレ,14,2019-04-20 02:51:17,2019-04-20 02:51:17
46,パーカー,14,2019-04-20 02:51:17,2019-04-20 02:51:17
47,トレーナー/スウェット,14,2019-04-20 02:51:17,2019-04-20 02:51:17
48,ペアトップ/チューブトップ,14,2019-04-20 02:51:17,2019-04-20 02:51:17
49,ジャージ,14,2019-04-20 02:51:17,2019-04-20 02:51:17
50,その他,14,2019-04-20 02:51:17,2019-04-20 02:51:17
51,テーラードジャケット,15,2019-04-20 02:51:17,2019-04-20 02:51:17
52,ノーカラージャケット,15,2019-04-20 02:51:17,2019-04-20 02:51:17
53,Gジャン/デニムジャケット,15,2019-04-20 02:51:17,2019-04-20 02:51:17
54,レザージャケット,15,2019-04-20 02:51:17,2019-04-20 02:51:17
55,ダウンジャケット,15,2019-04-20 02:51:17,2019-04-20 02:51:17
56,ライダースジャケット,15,2019-04-20 02:51:17,2019-04-20 02:51:17
57,ミリタリージャケット,15,2019-04-20 02:51:17,2019-04-20 02:51:17
58,ダウンベスト,15,2019-04-20 02:51:17,2019-04-20 02:51:17
59,ジャンパー/ブルゾン,15,2019-04-20 02:51:17,2019-04-20 02:51:17
60,ポンチョ,15,2019-04-20 02:51:17,2019-04-20 02:51:17
61,ロングコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
62,トレンチコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
63,ダッフルコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
64,ピーコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
65,チェスターコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
66,モッズコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
67,スタジャン,15,2019-04-20 02:51:17,2019-04-20 02:51:17
68,毛皮/ファーコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
69,スプリングコート,15,2019-04-20 02:51:17,2019-04-20 02:51:17
70,スカジャン,15,2019-04-20 02:51:17,2019-04-20 02:51:17
71,その他,15,2019-04-20 02:51:17,2019-04-20 02:51:17
72,デニム/ジーンズ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
73,ショートパンツ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
74,カジュアルパンツ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
75,ハーフパンツ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
76,チノパン,16,2019-04-20 02:51:17,2019-04-20 02:51:17
77,ワークパンツ/カーゴパンツ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
78,クロップドパンツ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
79,サロペット/オーバーオール,16,2019-04-20 02:51:17,2019-04-20 02:51:17
80,オールインワン,16,2019-04-20 02:51:17,2019-04-20 02:51:17
81,サルエルパンツ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
82,ガウチョパンツ,16,2019-04-20 02:51:17,2019-04-20 02:51:17
83,その他,16,2019-04-20 02:51:17,2019-04-20 02:51:17
84,ミニスカート,17,2019-04-20 02:51:17,2019-04-20 02:51:17
85,ひざ丈スカート,17,2019-04-20 02:51:17,2019-04-20 02:51:17
86,ロングスカート,17,2019-04-20 02:51:17,2019-04-20 02:51:17
87,キュロット,17,2019-04-20 02:51:17,2019-04-20 02:51:17
88,その他,17,2019-04-20 02:51:17,2019-04-20 02:51:17
89,ミニワンピース,18,2019-04-20 02:51:17,2019-04-20 02:51:17
90,ひざ丈ワンピース,18,2019-04-20 02:51:17,2019-04-20 02:51:17
91,ロングワンピース,18,2019-04-20 02:51:17,2019-04-20 02:51:17
92,その他,18,2019-04-20 02:51:17,2019-04-20 02:51:17
93,ハイヒール/パンプス,19,2019-04-20 02:51:17,2019-04-20 02:51:17
94,ブーツ,19,2019-04-20 02:51:17,2019-04-20 02:51:17
95,サンダル,19,2019-04-20 02:51:17,2019-04-20 02:51:17
96,スニーカー,19,2019-04-20 02:51:17,2019-04-20 02:51:17
97,ミュール,19,2019-04-20 02:51:17,2019-04-20 02:51:17
98,モカシン,19,2019-04-20 02:51:17,2019-04-20 02:51:17
99,ローファー/革靴,19,2019-04-20 02:51:17,2019-04-20 02:51:17
100,フラットシューズ/バレエシューズ,19,2019-04-20 02:51:17,2019-04-20 02:51:17
101,長靴/レインシューズ,19,2019-04-20 02:51:17,2019-04-20 02:51:17
102,その他,19,2019-04-20 02:51:17,2019-04-20 02:51:17
103,パジャマ,20,2019-04-20 02:51:17,2019-04-20 02:51:17
104,ルームウェア,20,2019-04-20 02:51:17,2019-04-20 02:51:17
105,ソックス,21,2019-04-20 02:51:17,2019-04-20 02:51:17
106,スパッツ/レギンス,21,2019-04-20 02:51:17,2019-04-20 02:51:17
107,ストッキング/タイツ,21,2019-04-20 02:51:17,2019-04-20 02:51:17
108,レッグウォーマー,21,2019-04-20 02:51:17,2019-04-20 02:51:17
109,その他,21,2019-04-20 02:51:17,2019-04-20 02:51:17
110,ニットキャップ/ビーニー,22,2019-04-20 02:51:17,2019-04-20 02:51:17
111,ハット,22,2019-04-20 02:51:17,2019-04-20 02:51:17
112,ハンチング/ベレー帽,22,2019-04-20 02:51:17,2019-04-20 02:51:17
113,キャップ,22,2019-04-20 02:51:17,2019-04-20 02:51:17
114,キャスケット,22,2019-04-20 02:51:17,2019-04-20 02:51:17
115,麦わら帽子,22,2019-04-20 02:51:17,2019-04-20 02:51:17
116,その他,22,2019-04-20 02:51:17,2019-04-20 02:51:17
117,ハンドバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
118,トートバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
119,エコバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
120,リュック/バックパック,23,2019-04-20 02:51:17,2019-04-20 02:51:17
121,ボストンバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
122,スポーツバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
123,ショルダーバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
124,クラッチバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
125,ポーチ/バニティ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
126,ボディバッグ/ウェストバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
127,マザーズバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
128,メッセンジャーバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
129,ビジネスバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
130,旅行用バッグ/キャリーバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
131,ショップ袋,23,2019-04-20 02:51:17,2019-04-20 02:51:17
132,和装用バッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
133,かごバッグ,23,2019-04-20 02:51:17,2019-04-20 02:51:17
134,その他,23,2019-04-20 02:51:17,2019-04-20 02:51:17
135,ネックレス,24,2019-04-20 02:51:17,2019-04-20 02:51:17
136,ブレスレット,24,2019-04-20 02:51:17,2019-04-20 02:51:17
137,バングル/リストバンド,24,2019-04-20 02:51:17,2019-04-20 02:51:17
138,リング,24,2019-04-20 02:51:17,2019-04-20 02:51:17
139,ピアス(片耳用),24,2019-04-20 02:51:17,2019-04-20 02:51:17
140,ピアス(両耳用),24,2019-04-20 02:51:17,2019-04-20 02:51:17
141,イヤリング,24,2019-04-20 02:51:17,2019-04-20 02:51:17
142,アンクレット,24,2019-04-20 02:51:17,2019-04-20 02:51:17
143,ブローチ/コサージュ,24,2019-04-20 02:51:17,2019-04-20 02:51:17
144,チャーム,24,2019-04-20 02:51:17,2019-04-20 02:51:17
145,その他,24,2019-04-20 02:51:17,2019-04-20 02:51:17
146,ヘアゴム/シュシュ,25,2019-04-20 02:51:17,2019-04-20 02:51:17
147,ヘアバンド/カチューシャ,25,2019-04-20 02:51:17,2019-04-20 02:51:17
148,ヘアピン,25,2019-04-20 02:51:17,2019-04-20 02:51:17
149,その他,25,2019-04-20 02:51:17,2019-04-20 02:51:17
150,長財布,26,2019-04-20 02:51:17,2019-04-20 02:51:17
151,折り財布,26,2019-04-20 02:51:17,2019-04-20 02:51:17
152,コインケース/小銭入れ,26,2019-04-20 02:51:17,2019-04-20 02:51:17
153,名刺入れ/定期入れ,26,2019-04-20 02:51:17,2019-04-20 02:51:17
154,キーケース,26,2019-04-20 02:51:17,2019-04-20 02:51:17
155,キーホルダー,26,2019-04-20 02:51:17,2019-04-20 02:51:17
156,手袋/アームカバー,26,2019-04-20 02:51:17,2019-04-20 02:51:17
157,ハンカチ,26,2019-04-20 02:51:17,2019-04-20 02:51:17
158,ベルト,26,2019-04-20 02:51:17,2019-04-20 02:51:17
159,マフラー/ショール,26,2019-04-20 02:51:17,2019-04-20 02:51:17
160,ストール/スヌード,26,2019-04-20 02:51:17,2019-04-20 02:51:17
161,バンダナ/スカーフ,26,2019-04-20 02:51:17,2019-04-20 02:51:17
162,ネックウォーマー,26,2019-04-20 02:51:17,2019-04-20 02:51:17
163,サスペンダー,26,2019-04-20 02:51:17,2019-04-20 02:51:17
164,サングラス/メガネ,26,2019-04-20 02:51:17,2019-04-20 02:51:17
165,モバイルケース/カバー,26,2019-04-20 02:51:17,2019-04-20 02:51:17
166,手帳,26,2019-04-20 02:51:17,2019-04-20 02:51:17
167,イヤマフラー,26,2019-04-20 02:51:17,2019-04-20 02:51:17
168,傘,26,2019-04-20 02:51:17,2019-04-20 02:51:17
169,レインコート/ポンチョ,26,2019-04-20 02:51:17,2019-04-20 02:51:17
170,ミラー,26,2019-04-20 02:51:17,2019-04-20 02:51:17
171,タバコグッズ,26,2019-04-20 02:51:17,2019-04-20 02:51:17
172,その他,26,2019-04-20 02:51:17,2019-04-20 02:51:17
173,腕時計(アナログ),27,2019-04-20 02:51:17,2019-04-20 02:51:17
174,腕時計(デジタル),27,2019-04-20 02:51:17,2019-04-20 02:51:17
175,ラバーベルト,27,2019-04-20 02:51:17,2019-04-20 02:51:17
176,レザーベルト,27,2019-04-20 02:51:17,2019-04-20 02:51:17
177,金属ベルト,27,2019-04-20 02:51:17,2019-04-20 02:51:17
178,その他,27,2019-04-20 02:51:17,2019-04-20 02:51:17
179,前髪ウィッグ,28,2019-04-20 02:51:17,2019-04-20 02:51:17
180,ロングストレート,28,2019-04-20 02:51:17,2019-04-20 02:51:17
181,ロングカール,28,2019-04-20 02:51:17,2019-04-20 02:51:17
182,ショートストレート,28,2019-04-20 02:51:17,2019-04-20 02:51:17
183,ショートカール,28,2019-04-20 02:51:17,2019-04-20 02:51:17
184,その他,28,2019-04-20 02:51:17,2019-04-20 02:51:17
185,浴衣,28,2019-04-20 02:51:17,2019-04-20 02:51:17
186,着物,28,2019-04-20 02:51:17,2019-04-20 02:51:17
187,振袖,28,2019-04-20 02:51:17,2019-04-20 02:51:17
188,長襦袢/半襦袢,28,2019-04-20 02:51:17,2019-04-20 02:51:17
189,水着セパレート,28,2019-04-20 02:51:17,2019-04-20 02:51:17
190,水着ワンピース,28,2019-04-20 02:51:17,2019-04-20 02:51:17
191,水着スポーツ用,28,2019-04-20 02:51:17,2019-04-20 02:51:17
192,その他,28,2019-04-20 02:51:17,2019-04-20 02:51:17
193,スカートスーツ上下,29,2019-04-20 02:51:17,2019-04-20 02:51:17
194,パンツスーツ上下,29,2019-04-20 02:51:17,2019-04-20 02:51:17
195,ドレス,29,2019-04-20 02:51:17,2019-04-20 02:51:17
196,パーティーバッグ,29,2019-04-20 02:51:17,2019-04-20 02:51:17
197,シューズ,29,2019-04-20 02:51:17,2019-04-20 02:51:17
198,ウェディング,29,2019-04-20 02:51:17,2019-04-20 02:51:17
199,その他,29,2019-04-20 02:51:17,2019-04-20 02:51:17
200,トップス,30,2019-04-20 02:51:17,2019-04-20 02:51:17
201,アウター,30,2019-04-20 02:51:17,2019-04-20 02:51:17
202,インナー,30,2019-04-20 02:51:17,2019-04-20 02:51:17
203,ワンピース,30,2019-04-20 02:51:17,2019-04-20 02:51:17
204,パンツ/スパッツ,30,2019-04-20 02:51:17,2019-04-20 02:51:17
205,スカート,30,2019-04-20 02:51:17,2019-04-20 02:51:17
206,パジャマ,30,2019-04-20 02:51:17,2019-04-20 02:51:17
207,授乳服,30,2019-04-20 02:51:17,2019-04-20 02:51:17
208,その他,30,2019-04-20 02:51:17,2019-04-20 02:51:17
209,コスプレ,31,2019-04-20 02:51:17,2019-04-20 02:51:17
210,下着,31,2019-04-20 02:51:17,2019-04-20 02:51:17
211,その他,31,2019-04-20 02:51:17,2019-04-20 02:51:17
